learning_id,title,year,type,level,theme,why_read,key_concepts,read_after,read_goal,source_link,doi_or_id,relation_to_fus_sim,do_not_use_for
L20,Transcranial focused ultrasound precise neuromodulation: a review of focal size regulation treatment efficiency and mechanisms,2024,review,2_聚焦精度,精准调控综述,帮助理解焦域大小和效率怎么调,focal size;efficiency;mechanisms;metasurfaces,L01,理解为什么我们关心焦点偏移和旁瓣,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2024.1463038/full,10.3389/fnins.2024.1463038,聚焦质量学习,综述不能替代具体设备参数
L21,Transcranial ultrasound simulations: underlying assumptions and emerging applications,2022,review/preprint,3_仿真综述,经颅超声仿真综述,系统理解经颅超声仿真的假设和应用边界,simulation assumptions;skull modeling;numerical methods;validation,L05,知道仿真结果依赖哪些假设,https://arxiv.org/abs/2207.12026,arXiv:2207.12026,仿真假设和验证意识,预印本;需注意版本
L22,Synthetic computed tomography from T1-weighted MRI for low intensity transcranial focused ultrasound planning,2022,method/preprint,3_影像建模,pseudo-CT路线,理解没有CT时如何从MRI生成近似颅骨声学模型,pseudo-CT;T1 MRI;skull modeling;LIFU planning,L13,知道CT/MRI/pseudo-CT各自角色,https://arxiv.org/abs/2209.12031,arXiv:2209.12031,MRI-only规划路线参考,不是当前CT管线的直接替代
L23,A Skull-Adaptive Framework for AI-Based 3D Transcranial Focused Ultrasound Simulation,2025,tool/preprint,4_前沿工具,AI仿真框架,了解AI surrogate如何加速3D tFUS仿真,skull-adaptive;AI surrogate;3D simulation;dataset,L21,知道未来工具方向但不急着替代物理仿真,https://arxiv.org/abs/2505.12998,arXiv:2505.12998,长期工具路线参考,当前物理模型未校准前不要替代k-Wave
L24,Current state of the art and future directions in clinical ultrasound neuromodulation and neurostimulation,2024,review,1_临床现状,临床神经调控现状,帮助理解研究如何走向临床和安全规范,clinical translation;safety;protocol;human neuromodulation,L01,知道临床研究关注点,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2024.1420255/full,10.3389/fnins.2024.1420255,汇报背景参考,不能替代具体实验参数
L25,Controlled ultrasonic interventions of the human skull,2024,review,3_颅骨干预,人体颅骨中的可控超声干预,强化理解颅骨对超声传播和控制的影响,skull;controlled interventions;transcranial ultrasound;therapy,L21,理解为什么自由场和颅骨校准都重要,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1412921/full,10.3389/fnhum.2024.1412921,颅骨传播学习,综述不能作为单一参数来源
L26,Ultrasound Neuromodulation: A Review of Results Mechanisms and Safety,2019,review,2_机制安全,机制与安全经典综述,开放PMC综述; 适合补足机制和安全边界,mechanisms;safety;central nervous system;peripheral nervous system;human studies,L01,理解超声如何影响神经以及安全证据如何组织,https://pmc.ncbi.nlm.nih.gov/articles/PMC6996285/,10.1016/j.ultrasmedbio.2018.12.015,机制和安全背景,综述不能作为具体设备参数默认
L27,Neuromodulation effects of low-intensity transcranial focused ultrasound in human systematic review focusing on motor and sensory functions,2025,systematic_review,2_人体证据,人体运动/感觉系统综述,适合补充人类研究证据和效果差异,human studies;motor cortex;sensory cortex;effectiveness;safety,L07,理解人类运动/感觉研究的总体证据,https://pmc.ncbi.nlm.nih.gov/articles/PMC12664190/,PMC12664190,人体证据背景,系统综述结果不能替代原始参数
L28,Human Ultrasound Neuromodulation: State of the Art,2022,review,1_总览,人类超声神经调控现状,适合作为给师姐解释领域现状的背景文献,human neuromodulation;state of art;safety;protocols,L01,了解人类TUS研究的发展状态,https://www.mdpi.com/2076-3425/12/2/208,10.3390/brainsci12020208,汇报背景,不要直接作为参数默认
L29,Focused Ultrasound for Neuromodulation,2018,review,1_总览,聚焦超声神经调控综述,解释LIFU安全参数和临床潜力,MI;TI;thermal dose;mechanical effects;clinical applications,L01,理解安全参数为什么包括MI和TI,https://pmc.ncbi.nlm.nih.gov/articles/PMC6361056/,PMC6361056,安全指标背景,综述中的诊断超声阈值需谨慎迁移
L30,Brain Modulatory Effects by Low-Intensity Transcranial Ultrasound Stimulation: systematic review on animal and human studies,2019,systematic_review,2_证据综述,动物和人体系统综述,帮助把动物/人体研究分层看待,animal studies;human studies;neuroimaging;neurophysiology;behavior,L08,知道动物证据与人体证据如何分层,https://pmc.ncbi.nlm.nih.gov/articles/PMC6667677/,PMC6667677,证据分层背景,不能把动物参数直接迁移到人
L31,Transcranial focused ultrasound stimulation of cortical and thalamic somatosensory areas in human,2023,primary_human,3_人体实验,人体皮层/丘脑感觉区刺激,补充更接近现代人体tFUS实验的设计,human;somatosensory cortex;thalamus;FDA NSR;safety,L07,学习人体实验如何做靶向和安全审批,https://pmc.ncbi.nlm.nih.gov/articles/PMC10361523/,PMC10361523,人体实验设计参考,具体参数需原文逐项核验
L32,Transcranial Focused Ultrasound Neuromodulation: Review of Excitatory and Inhibitory Effects on Brain Activity in Human and Animals,2021,review,2_效应综述,兴奋/抑制效应综述,帮助理解为什么同样TUS可能兴奋也可能抑制,excitatory effects;inhibitory effects;parameters;brain activity,L03,建立参数和效应方向不一一对应的意识,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2021.749162/full,10.3389/fnhum.2021.749162,效应解释背景,综述不能单独决定实验参数
L33,Current State of Potential Mechanisms Supporting Low Intensity Focused Ultrasound for Neuromodulation,2022,review,2_机制,低强聚焦超声机制综述,补充机械敏感通道/膜/空化等机制假说,mechanosensitive channels;membrane;thermal;mechanical mechanisms,L26,帮助解释为什么机制尚未完全统一,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2022.872639/full,10.3389/fnhum.2022.872639,机制补充,机制假说不能直接变成仿真参数
