paper_id,title,year,application,parameter_name,value,unit_or_definition,parameter_context,evidence_level,source_locator,definition_status,relevance_to_platform,review_status,notes
Gao2022_local,经颅聚焦超声调控系统的参数仿真研究,2022,thermal_safety,thermal_threshold,42,degC,max tissue temperature safety reference,原文明确,本地PDF 第4章; literature_tFUS_review/01_seed_papers_summary.md,safety_threshold,thermal_report_required,usable_with_caution,粗安全阈值; 应补 CEM43/thermal dose
Pan2021_local,经颅聚焦超声联合微泡开放血脑屏障的数值仿真研究,2021,BBB_simulation,frequency_range,0.2-0.7,MHz,FUS+microbubble BBB range discussed,原文明确,本地PDF 第5章讨论,reported_as_BBB_frequency,review_only,do_not_mix_with_neuromod,BBB 参数不可混入神经调控 baseline
Pan2021_local,经颅聚焦超声联合微泡开放血脑屏障的数值仿真研究,2021,BBB_simulation,MI_effective_window,0.3-0.7,MI,BBB safe/effective mechanical index window,原文明确,本地PDF 第4章/第5章,MI_not_pressure,review_or_future_BBB_module,do_not_mix_with_neuromod,适合未来 MI/PCD 模块
Pan2021_local,经颅聚焦超声联合微泡开放血脑屏障的数值仿真研究,2021,BBB_simulation,microbubble_density_max,1.56e10,1/m3,upper density for safe/effective BBB in study,原文明确,本地PDF 第5章结论,BBB_microbubble_parameter,review_only,do_not_mix_with_neuromod,仅 BBB 微泡语境
Pan2021_local,经颅聚焦超声联合微泡开放血脑屏障的数值仿真研究,2021,BBB_simulation,short_pulse_width,5-10,us,short pulses to reduce standing waves,原文明确,本地PDF 第5章结论,BBB_pulse_width,review_only,do_not_mix_with_neuromod,仅 BBB/微泡驻波控制参考
Sun2021_local,经颅聚焦超声治疗脑血栓的数值仿真研究,2021,thrombolysis_simulation,frequency_sweep,0.5-1.1,MHz,frequency sweep for thrombolysis simulation,原文明确,本地PDF 第3章/第4章,thrombolysis_frequency,review_only,do_not_mix_with_neuromod,溶栓方向参考
Sun2021_local,经颅聚焦超声治疗脑血栓的数值仿真研究,2021,thrombolysis_simulation,best_frequency_transcranial,0.8,MHz,selected optimal frequency in transcranial/craniotomy models,原文明确,本地PDF 第5章结论,thrombolysis_frequency,review_only,do_not_mix_with_neuromod,不能迁移为低强度神经调控最优频率
Sun2021_local,经颅聚焦超声治疗脑血栓的数值仿真研究,2021,thrombolysis_simulation,PNP_threshold_effective,-6,MPa,negative pressure threshold for thrombolysis effect,原文明确,本地PDF 第3章; Maxwell literature basis,peak_negative_pressure,review_only,do_not_mix_with_neuromod,高强空化/溶栓阈值
Sun2021_local,经颅聚焦超声治疗脑血栓的数值仿真研究,2021,thrombolysis_simulation,PNP_threshold_strong,-8,MPa,negative pressure threshold for strong thrombolysis effect,原文明确,本地PDF 第3章; Maxwell literature basis,peak_negative_pressure,review_only,do_not_mix_with_neuromod,不可用于 low-intensity safety target
Legon2014,Transcranial focused ultrasound modulates the activity of primary somatosensory cortex in humans,2014,human_neuromodulation,frequency,0.5,MHz,human S1 neuromodulation frequency,原文/期刊页明确,DOI 10.1038/nn.3620; Nature page; current matrix,reported_as_frequency,parameter_range_reference,usable_with_caution,支持 500 kHz 属于常见范围
Legon2014,Transcranial focused ultrasound modulates the activity of primary somatosensory cortex in humans,2014,human_neuromodulation,peak_rarefactional_pressure,0.80,MPa,reported stimulation pressure,二手信息/待全文复核,H1 Connect snippet; needs full-text check,pressure_definition_needs_check,range_reference,needs_fulltext_verification,需全文确认 free-field/in situ/source 定义
Legon2014,Transcranial focused ultrasound modulates the activity of primary somatosensory cortex in humans,2014,human_neuromodulation,PRF,1,kHz,pulse repetition frequency,二手信息/待全文复核,H1 Connect snippet; needs full-text check,reported_as_PRF,range_reference,needs_fulltext_verification,用于说明 PRF 不止 300 Hz
Legon2014,Transcranial focused ultrasound modulates the activity of primary somatosensory cortex in humans,2014,human_neuromodulation,pulse_duration,360,us,pulse duration,二手信息/待全文复核,H1 Connect snippet; needs full-text check,pulse_duration,range_reference,needs_fulltext_verification,由此推算 pulse duty 约 36%
Mueller2016,Computational exploration of wave propagation and heating from tFUS for neuromodulation,2016,neuromodulation_heating,exposure_duration,0.5,s,human neuromodulation heating exposure,原文摘要明确,DOI 10.1088/1741-2560/13/5/056002; Experts@Minnesota abstract,reported_exposure,thermal_reference,usable_with_caution,摘要报告颅骨最高温升 0.16 C
Mueller2016,Computational exploration of wave propagation and heating from tFUS for neuromodulation,2016,neuromodulation_heating,bone_temperature_rise,0.16,degC,max heating in bone for modeled exposure,原文摘要明确,DOI 10.1088/1741-2560/13/5/056002; Experts@Minnesota abstract,temperature_rise,thermal_reference,usable_with_caution,支持低强神经调控温升通常较小但需检查颅骨
Lee2016_V1,Transcranial focused ultrasound stimulation of human primary visual cortex,2016,human_neuromodulation,frequency,270,kHz,human V1 stimulation frequency,原文网页明确,Nature Scientific Reports srep34026 page,reported_as_frequency,parameter_range_reference,usable_with_caution,说明人类 tFUS 频率也可低于 500 kHz
Leung2019_RapidBeam,A rapid beam simulation framework for transcranial focused ultrasound,2019,tcMRgFUS_ablation_planning,solver,HAS_like_rapid_3D,method,rapid 3D framework validated against MR thermometry,原文明确,Nature Scientific Reports 10.1038/s41598-019-43775-6,solver_definition,tool_route_reference,usable_with_caution,偏热消融; 可借鉴快速声束和温升校准
Jin2020_Kranion,An open-source phase correction toolkit for transcranial focused ultrasound,2020,phase_correction,frequency,650,kHz,ExAblate FUS system validation frequency,README/论文明确,BMC Biomedical Engineering 10.1186/s42490-020-00043-3,reported_as_frequency,phase_correction_reference,usable_with_caution,相位校正参考; 不是当前单阵元 baseline
Jin2020_Kranion,An open-source phase correction toolkit for transcranial focused ultrasound,2020,phase_correction,hydrophone_scan_step,0.25,mm,2D pressure scan resolution,README/论文明确,BMC article supplementary info,validation_grid,free_field_validation_reference,usable_with_caution,可借鉴水槽/自由场验证设计
Leung2021_HAS,Transcranial focused ultrasound phase correction using the hybrid angular spectrum method,2021,phase_correction,positioning_error,0.35±0.09,mm,HAS correction reported positioning error,原文摘要明确,Nature Scientific Reports 10.1038/s41598-021-85535-5,validation_metric,phase_correction_reference,usable_with_caution,后续快速相位校正参考
Review2025_Panoramic,A panoramic review of transcranial focused ultrasound neuromodulation,2025,review_neuromodulation,frequency_common_range,0.25-0.65,MHz,typical range for skull penetration,综述明确,J NeuroEngineering and Rehabilitation 10.1186/s12984-025-01753-2,review_range,parameter_consensus_reference,usable_with_caution,综述用于范围判断; 仍需具体原文复核
Review2025_Panoramic,A panoramic review of transcranial focused ultrasound neuromodulation,2025,review_neuromodulation,pressure_common_range,0.1-1.0,MPa,typical human neuromodulation pressure range,综述明确,J NeuroEngineering and Rehabilitation 10.1186/s12984-025-01753-2,review_range,parameter_consensus_reference,usable_with_caution,说明 1 MPa 是范围高端
